Date,Price
12/5/2020,82.0935
12/6/2020,82.5622
12/7/2020,82.0635
12/8/2020,80.5254
12/9/2020,78.8564
12/10/2020,72.4665
12/11/2020,72.4029
12/12/2020,71.9566
12/13/2020,73.2389
12/14/2020,74.0797
12/15/2020,74.3545
12/16/2020,77.911
12/17/2020,91.5746
12/18/2020,83.5233
12/19/2020,89.3175
12/20/2020,90.5014
12/21/2020,89.3205
12/22/2020,90.0958
12/23/2020,91.4396
12/24/2020,84.3591
12/25/2020,84.6604
12/26/2020,89.0156
12/27/2020,93.7679
12/28/2020,92.4082
12/29/2020,93.5271
12/30/2020,96.2726
12/31/2020,101.8303
1/1/2021,91.1381
1/2/2021,100.1963
1/3/2021,106.94
1/4/2021,115.9792
1/5/2021,116.2623
1/6/2021,124.8223
1/7/2021,142.2694
1/8/2021,142.4318
1/9/2021,148.6405
1/10/2021,153.6932
1/11/2021,143.328
1/12/2021,154.584
1/13/2021,147.6092
1/14/2021,152.782
1/15/2021,152.8039
1/16/2021,154.057
1/17/2021,147.9275
1/18/2021,143.9496
1/19/2021,148.7246
1/20/2021,138.3712
1/21/2021,130.9544
1/22/2021,127.7224
1/23/2021,124.558
1/24/2021,127.4918
1/25/2021,124.5441
1/26/2021,122.3167
1/27/2021,130.6129
1/28/2021,135.3365
1/29/2021,136.2992
1/30/2021,127.6896
1/31/2021,126.8044
2/1/2021,122.3231
2/2/2021,122.1641
2/3/2021,120.7915
2/4/2021,119.7638
2/5/2021,116.1995
2/6/2021,114.5676
2/7/2021,116.4417
2/8/2021,127.3736
2/9/2021,125.7036
2/10/2021,122.9832
2/11/2021,122.1361
2/12/2021,120.1051
2/13/2021,119.4864
2/14/2021,118.929
2/15/2021,118.5585
2/16/2021,120.7893
2/17/2021,118.7791
2/18/2021,118.3586
2/19/2021,112.3586
2/20/2021,111.9754
2/21/2021,113.2322
2/22/2021,121.8924
2/23/2021,132.4779
2/24/2021,125.6999
2/25/2021,121.3282
2/26/2021,118.0411
2/27/2021,113.0614
2/28/2021,117.5052
3/1/2021,115.0205
3/2/2021,109.748
3/3/2021,108.0387
3/4/2021,108.0862
3/5/2021,108.9215
3/6/2021,106.5214
3/7/2021,106.0892
3/8/2021,104.4697
3/9/2021,104.073
3/10/2021,103.714
3/11/2021,104.4513
3/12/2021,102.9561
3/13/2021,104.7861
3/14/2021,105.624
3/15/2021,105.1197
3/16/2021,104.0305
3/17/2021,104.7378
3/18/2021,100.9219
3/19/2021,96.2337
3/20/2021,93.8991
3/21/2021,88.4671
3/22/2021,86.4904
3/23/2021,85.48
3/24/2021,91.8677
3/25/2021,91.2313
3/26/2021,84.3373
3/27/2021,80.8194
3/28/2021,79.5164
3/29/2021,81.6573
3/30/2021,84.4167
3/31/2021,85.3284
4/1/2021,82.6225
4/2/2021,81.1702
4/3/2021,82.3595
4/4/2021,82.1587
4/5/2021,80.3765
4/6/2021,80.9286
4/7/2021,79.9401
4/8/2021,75.5952
4/9/2021,75.9618
4/10/2021,80.2617
4/11/2021,81.0033
4/12/2021,83.044
4/13/2021,86.6793
4/14/2021,84.7738
4/15/2021,79.6018
4/16/2021,77.4506
4/17/2021,74.8099
4/18/2021,88.31
4/19/2021,84.7606
4/20/2021,83.8959
4/21/2021,82.9979
4/22/2021,86.8441
4/23/2021,91.6817
4/24/2021,93.0787
4/25/2021,94.2001
4/26/2021,84.3695
4/27/2021,80.0773
4/28/2021,79.5036
4/29/2021,81.3187
4/30/2021,80.1239
5/1/2021,81.46
5/2/2021,82.4419
5/3/2021,87.5319
5/4/2021,93.9744
5/5/2021,92.709
5/6/2021,91.1038
5/7/2021,88.804
5/8/2021,91.5516
5/9/2021,95.4919
5/10/2021,99.0925
5/11/2021,98.634
5/12/2021,101.9581
5/13/2021,103.177
5/14/2021,104.2905
5/15/2021,109.2272
5/16/2021,113.2868
5/17/2021,127.6786
5/18/2021,120.4476
5/19/2021,134.1699
5/20/2021,145.1078
5/21/2021,158.4231
5/22/2021,156.2869
5/23/2021,168.1786
5/24/2021,144.6406
5/25/2021,142.0761
5/26/2021,135.8308
5/27/2021,127.051
5/28/2021,138.4891
5/29/2021,141.039
5/30/2021,136.4407
5/31/2021,121.8227
6/1/2021,120.3921
6/2/2021,117.2484
6/3/2021,112.1679
6/4/2021,113.614
6/5/2021,115.9166
6/6/2021,115.4939
6/7/2021,112.7685
6/8/2021,124.1288
6/9/2021,115.9592
6/10/2021,107.5573
6/11/2021,103.576
6/12/2021,104.7095
6/13/2021,105.8321
6/14/2021,104.9686
6/15/2021,100.7957
6/16/2021,99.2163
6/17/2021,97.2236
6/18/2021,99.8192
6/19/2021,95.0129
6/20/2021,98.5916
6/21/2021,107.843
6/22/2021,113.3644
6/23/2021,106.7856
6/24/2021,104.9151
6/25/2021,105.9223
6/26/2021,109.531
6/27/2021,107.5424
6/28/2021,107.4701
6/29/2021,103.4811
6/30/2021,106.4787
7/1/2021,106.6011
7/2/2021,103.3117
7/3/2021,100.9436
7/4/2021,99.3374
7/5/2021,98.181
7/6/2021,98.1919
7/7/2021,97.4479
7/8/2021,97.8396
7/9/2021,94.6256
7/10/2021,93.1332
7/11/2021,91.9351
7/12/2021,92.0527
7/13/2021,92.3061
7/14/2021,92.176
7/15/2021,89.9544
7/16/2021,87.9262
7/17/2021,87.1862
7/18/2021,87.2846
7/19/2021,90.599
7/20/2021,95.0007
7/21/2021,93.2136
7/22/2021,90.9095
7/23/2021,87.3419
7/24/2021,87.9099
7/25/2021,89.1211
7/26/2021,92.4192
7/27/2021,92.146
7/28/2021,98.6992
7/29/2021,97.4753
7/30/2021,94.2959
7/31/2021,94.2279
8/1/2021,94.8755
8/2/2021,94.7071
8/3/2021,95.6782
8/4/2021,97.9616
8/5/2021,101.0602
8/6/2021,99.3835
8/7/2021,102.0294
8/8/2021,103.3186
8/9/2021,110.5816
8/10/2021,112.5527
8/11/2021,108.9244
8/12/2021,104.469
8/13/2021,102.9255
8/14/2021,103.5115
8/15/2021,103.3326
8/16/2021,103.3789
8/17/2021,101.7615
8/18/2021,101.0468
8/19/2021,100.2797
8/20/2021,98.9999
8/21/2021,98.5709
8/22/2021,97.8753
8/23/2021,99.985
8/24/2021,97.4417
8/25/2021,96.8554
8/26/2021,96.7136
8/27/2021,94.9014
8/28/2021,93.0845
8/29/2021,93.0439
8/30/2021,93.8028
8/31/2021,95.6826
9/1/2021,97.8054
9/2/2021,99.559
9/3/2021,96.3082
9/4/2021,95.7288
9/5/2021,97.1538
9/6/2021,96.475
9/7/2021,99.5711
9/8/2021,97.4768
9/9/2021,95.8158
9/10/2021,94.0526
9/11/2021,93.5198
9/12/2021,93.9262
9/13/2021,95.2412
9/14/2021,94.6928
9/15/2021,93.8186
9/16/2021,89.8523
9/17/2021,87.1383
9/18/2021,87.5401
9/19/2021,87.3529
9/20/2021,92.4503
9/21/2021,95.3672
9/22/2021,93.2299
9/23/2021,88.2051
9/24/2021,89.8998
9/25/2021,88.4235
9/26/2021,88.8945
9/27/2021,91.4585
9/28/2021,94.0019
9/29/2021,93.7562
9/30/2021,93.2836
10/1/2021,89.0207
10/2/2021,86.3403
10/3/2021,87.3408
10/4/2021,90.1717
10/5/2021,92.8684
10/6/2021,92.3804
10/7/2021,90.6366
10/8/2021,90.3897
10/9/2021,89.5417
10/10/2021,90.7525
10/11/2021,91.4522
